=== UDP log from ::ffff:127.0.0.1:60017  at 2026-06-28 13:14:53  (20 entries) ===
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | LOGOUT | System
  [2026-06-28 12:57:18] clerk | LOGIN | System
  [2026-06-28 12:57:18] clerk | LOGOUT | System
  [2026-06-28 12:57:18] manager | LOGIN | System
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | ADD_PRODUCT | Slušalice
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | GENERATE_REPORT | C:/Users/tindo/Desktop/ntp/inventory_report.pdf
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | GENERATE_REPORT | C:/Users/tindo/Desktop/ntp/inventory_report.pdf
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | ANALYZE_INVENTORY | Products: 5
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:23] admin | NET_QUERY | laptop
  [2026-06-28 13:00:59] admin | NET_SEND_BACKUP | Bytes: 344
  [2026-06-28 13:14:50] admin | NET_UDP_STATUS | localhost
  [2026-06-28 13:14:52] admin | NET_UDP_STATUS | localhost

=== UDP log from ::ffff:127.0.0.1:49215  at 2026-06-28 13:17:54  (20 entries) ===
  [2026-06-28 12:57:18] clerk | LOGIN | System
  [2026-06-28 12:57:18] clerk | LOGOUT | System
  [2026-06-28 12:57:18] manager | LOGIN | System
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | ADD_PRODUCT | Slušalice
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | GENERATE_REPORT | C:/Users/tindo/Desktop/ntp/inventory_report.pdf
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | GENERATE_REPORT | C:/Users/tindo/Desktop/ntp/inventory_report.pdf
  [2026-06-28 12:57:18] admin | LOGIN | System
  [2026-06-28 12:57:18] admin | ANALYZE_INVENTORY | Products: 5
